id,name,provider,amount,amountFormatted,deadline,category,description,status,coverage,selectionProcess,benefits,officialLink,educationLevel,gender,familyIncomeMax,states,castes,fieldsOfStudy,documents
11,India Scholarship Scheme 11,Education Foundation 23,31621,"₹31,621",2026-12-04,Minority,Mock Indian scholarship program focused on minority support.,Open,Tuition Fee,Entrance Test,Laptop Support,https://example-scholarship-11.in,Class 10,Any,300000,Jharkhand,EWS,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
12,India Scholarship Scheme 12,Education Foundation 3,86066,"₹86,066",2026-09-11,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Tuition + Hostel,Interview + Merit,Laptop Support,https://example-scholarship-12.in,PG,Male,1000000,Tamil Nadu,ST,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
13,India Scholarship Scheme 13,Education Foundation 21,72396,"₹72,396",2026-10-18,Merit,Mock Indian scholarship program focused on merit support.,Upcoming,Full Academic Support,Merit Based,Annual Stipend,https://example-scholarship-13.in,UG,Female,800000,Punjab,Minority,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
14,India Scholarship Scheme 14,Education Foundation 23,69086,"₹69,086",2026-12-14,Minority,Mock Indian scholarship program focused on minority support.,Open,Tuition + Hostel,Need + Merit,Laptop Support,https://example-scholarship-14.in,UG,Male,800000,Madhya Pradesh,Minority,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
15,India Scholarship Scheme 15,Education Foundation 5,21579,"₹21,579",2026-11-03,Merit,Mock Indian scholarship program focused on merit support.,Open,Tuition + Hostel,Interview + Merit,Laptop Support,https://example-scholarship-15.in,Diploma,Any,300000,Haryana,All,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
16,India Scholarship Scheme 16,Education Foundation 14,162118,"₹162,118",2026-10-11,Sports,Mock Indian scholarship program focused on sports support.,Open,Tuition Fee,Interview + Merit,Laptop Support,https://example-scholarship-16.in,Class 10,Female,500000,Maharashtra,EWS,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
17,India Scholarship Scheme 17,Education Foundation 4,48315,"₹48,315",2026-12-27,Merit,Mock Indian scholarship program focused on merit support.,Upcoming,Books and Tuition,Need + Merit,Hostel Assistance,https://example-scholarship-17.in,Diploma,Male,200000,Bihar,Minority,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
18,India Scholarship Scheme 18,Education Foundation 1,92843,"₹92,843",2026-07-21,Sports,Mock Indian scholarship program focused on sports support.,Upcoming,Books and Tuition,Need + Merit,Laptop Support,https://example-scholarship-18.in,Diploma,Female,300000,Maharashtra,All,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
19,India Scholarship Scheme 19,Education Foundation 17,146139,"₹146,139",2026-10-14,Research,Mock Indian scholarship program focused on research support.,Open,Tuition Fee,Entrance Test,Laptop Support,https://example-scholarship-19.in,UG,Any,500000,Bihar,SC,Arts,Aadhaar; Income Certificate; Marksheet; Bank Passbook
20,India Scholarship Scheme 20,Education Foundation 21,110969,"₹110,969",2026-11-24,Technical Education,Mock Indian scholarship program focused on technical education support.,Open,Tuition Fee,Interview + Merit,Research Grant,https://example-scholarship-20.in,Class 10,Female,500000,Madhya Pradesh,EWS,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
21,India Scholarship Scheme 21,Education Foundation 2,165099,"₹165,099",2026-09-03,Need-Based,Mock Indian scholarship program focused on need-based support.,Upcoming,Tuition Fee,Merit Based,Research Grant,https://example-scholarship-21.in,Class 10,Any,500000,Kerala,General,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
22,India Scholarship Scheme 22,Education Foundation 23,11640,"₹11,640",2026-09-09,Girls Education,Mock Indian scholarship program focused on girls education support.,Upcoming,Books and Tuition,Merit Based,Hostel Assistance,https://example-scholarship-22.in,PhD,Any,200000,Gujarat,ST,All,Aadhaar; Income Certificate; Marksheet; Bank Passbook
23,India Scholarship Scheme 23,Education Foundation 22,65944,"₹65,944",2026-07-16,SC/ST,Mock Indian scholarship program focused on sc/st support.,Open,Full Academic Support,Merit Based,Hostel Assistance,https://example-scholarship-23.in,PhD,Any,200000,Gujarat,ST,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
24,India Scholarship Scheme 24,Education Foundation 11,133973,"₹133,973",2026-09-26,Need-Based,Mock Indian scholarship program focused on need-based support.,Upcoming,Full Academic Support,Merit Based,Laptop Support,https://example-scholarship-24.in,PG,Male,800000,Uttar Pradesh,SC,All,Aadhaar; Income Certificate; Marksheet; Bank Passbook
25,India Scholarship Scheme 25,Education Foundation 25,81959,"₹81,959",2026-12-08,SC/ST,Mock Indian scholarship program focused on sc/st support.,Upcoming,Tuition Fee,Need + Merit,Annual Stipend,https://example-scholarship-25.in,UG,Female,300000,Maharashtra,OBC,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
26,India Scholarship Scheme 26,Education Foundation 1,112899,"₹112,899",2026-07-20,SC/ST,Mock Indian scholarship program focused on sc/st support.,Upcoming,Books and Tuition,Merit Based,Annual Stipend,https://example-scholarship-26.in,Class 12,Any,300000,Jharkhand,EWS,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
27,India Scholarship Scheme 27,Education Foundation 9,11191,"₹11,191",2026-11-13,Need-Based,Mock Indian scholarship program focused on need-based support.,Upcoming,Tuition + Hostel,Entrance Test,Research Grant,https://example-scholarship-27.in,Class 10,Any,1000000,Maharashtra,EWS,All,Aadhaar; Income Certificate; Marksheet; Bank Passbook
28,India Scholarship Scheme 28,Education Foundation 8,35063,"₹35,063",2026-10-05,Research,Mock Indian scholarship program focused on research support.,Open,Books and Tuition,Interview + Merit,Laptop Support,https://example-scholarship-28.in,UG,Male,500000,Gujarat,EWS,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
29,India Scholarship Scheme 29,Education Foundation 1,98104,"₹98,104",2026-12-20,Minority,Mock Indian scholarship program focused on minority support.,Upcoming,Full Academic Support,Interview + Merit,Hostel Assistance,https://example-scholarship-29.in,Class 10,Female,200000,Haryana,ST,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
30,India Scholarship Scheme 30,Education Foundation 24,93119,"₹93,119",2026-11-28,Sports,Mock Indian scholarship program focused on sports support.,Upcoming,Tuition Fee,Interview + Merit,Research Grant,https://example-scholarship-30.in,Diploma,Female,300000,West Bengal,SC,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
31,India Scholarship Scheme 31,Education Foundation 8,169328,"₹169,328",2026-07-13,Sports,Mock Indian scholarship program focused on sports support.,Upcoming,Tuition Fee,Entrance Test,Research Grant,https://example-scholarship-31.in,PG,Female,800000,Maharashtra,SC,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
32,India Scholarship Scheme 32,Education Foundation 24,84142,"₹84,142",2026-09-05,Minority,Mock Indian scholarship program focused on minority support.,Open,Tuition Fee,Interview + Merit,Laptop Support,https://example-scholarship-32.in,Class 12,Any,800000,Rajasthan,EWS,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
33,India Scholarship Scheme 33,Education Foundation 2,181686,"₹181,686",2026-12-11,Minority,Mock Indian scholarship program focused on minority support.,Upcoming,Tuition Fee,Entrance Test,Laptop Support,https://example-scholarship-33.in,PG,Male,800000,Punjab,EWS,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
34,India Scholarship Scheme 34,Education Foundation 19,154895,"₹154,895",2026-07-25,Merit,Mock Indian scholarship program focused on merit support.,Open,Full Academic Support,Entrance Test,Laptop Support,https://example-scholarship-34.in,Diploma,Male,200000,Telangana,ST,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
35,India Scholarship Scheme 35,Education Foundation 7,79151,"₹79,151",2026-09-20,Sports,Mock Indian scholarship program focused on sports support.,Upcoming,Books and Tuition,Merit Based,Research Grant,https://example-scholarship-35.in,UG,Any,300000,Chhattisgarh,Minority,Arts,Aadhaar; Income Certificate; Marksheet; Bank Passbook
36,India Scholarship Scheme 36,Education Foundation 19,156497,"₹156,497",2026-09-08,SC/ST,Mock Indian scholarship program focused on sc/st support.,Upcoming,Tuition + Hostel,Merit Based,Annual Stipend,https://example-scholarship-36.in,PhD,Any,800000,Telangana,General,Arts,Aadhaar; Income Certificate; Marksheet; Bank Passbook
37,India Scholarship Scheme 37,Education Foundation 6,38051,"₹38,051",2026-09-13,Minority,Mock Indian scholarship program focused on minority support.,Open,Full Academic Support,Need + Merit,Hostel Assistance,https://example-scholarship-37.in,PG,Male,1000000,Gujarat,ST,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
38,India Scholarship Scheme 38,Education Foundation 13,129871,"₹129,871",2026-07-11,Merit,Mock Indian scholarship program focused on merit support.,Upcoming,Tuition + Hostel,Need + Merit,Research Grant,https://example-scholarship-38.in,Class 10,Male,800000,Punjab,All,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
39,India Scholarship Scheme 39,Education Foundation 21,34906,"₹34,906",2026-11-11,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Full Academic Support,Entrance Test,Laptop Support,https://example-scholarship-39.in,PG,Any,300000,Telangana,EWS,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
40,India Scholarship Scheme 40,Education Foundation 14,125790,"₹125,790",2026-10-15,Minority,Mock Indian scholarship program focused on minority support.,Upcoming,Tuition Fee,Need + Merit,Research Grant,https://example-scholarship-40.in,PhD,Any,300000,West Bengal,All,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
41,India Scholarship Scheme 41,Education Foundation 17,129161,"₹129,161",2026-09-09,Research,Mock Indian scholarship program focused on research support.,Upcoming,Tuition + Hostel,Entrance Test,Annual Stipend,https://example-scholarship-41.in,UG,Female,200000,Madhya Pradesh,Minority,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
42,India Scholarship Scheme 42,Education Foundation 10,29719,"₹29,719",2026-11-12,SC/ST,Mock Indian scholarship program focused on sc/st support.,Open,Full Academic Support,Interview + Merit,Annual Stipend,https://example-scholarship-42.in,Diploma,Any,300000,Maharashtra,SC,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
43,India Scholarship Scheme 43,Education Foundation 24,163731,"₹163,731",2026-10-05,Merit,Mock Indian scholarship program focused on merit support.,Upcoming,Tuition + Hostel,Merit Based,Annual Stipend,https://example-scholarship-43.in,Class 10,Any,200000,Telangana,Minority,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
44,India Scholarship Scheme 44,Education Foundation 20,113787,"₹113,787",2026-09-09,Sports,Mock Indian scholarship program focused on sports support.,Open,Tuition Fee,Interview + Merit,Annual Stipend,https://example-scholarship-44.in,Class 10,Male,200000,Haryana,Minority,Arts,Aadhaar; Income Certificate; Marksheet; Bank Passbook
45,India Scholarship Scheme 45,Education Foundation 1,104997,"₹104,997",2026-12-17,Merit,Mock Indian scholarship program focused on merit support.,Open,Full Academic Support,Need + Merit,Laptop Support,https://example-scholarship-45.in,Class 12,Female,300000,Gujarat,Minority,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
46,India Scholarship Scheme 46,Education Foundation 13,55621,"₹55,621",2026-12-07,SC/ST,Mock Indian scholarship program focused on sc/st support.,Upcoming,Full Academic Support,Interview + Merit,Laptop Support,https://example-scholarship-46.in,Class 12,Male,1000000,Assam,OBC,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
47,India Scholarship Scheme 47,Education Foundation 12,67563,"₹67,563",2026-10-14,Minority,Mock Indian scholarship program focused on minority support.,Open,Full Academic Support,Need + Merit,Hostel Assistance,https://example-scholarship-47.in,PhD,Any,800000,Madhya Pradesh,All,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
48,India Scholarship Scheme 48,Education Foundation 6,198117,"₹198,117",2026-08-04,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Tuition Fee,Need + Merit,Annual Stipend,https://example-scholarship-48.in,Diploma,Any,300000,Madhya Pradesh,EWS,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
49,India Scholarship Scheme 49,Education Foundation 1,64094,"₹64,094",2026-10-09,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Tuition Fee,Merit Based,Hostel Assistance,https://example-scholarship-49.in,Class 10,Male,500000,Kerala,EWS,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
50,India Scholarship Scheme 50,Education Foundation 18,97834,"₹97,834",2026-07-28,SC/ST,Mock Indian scholarship program focused on sc/st support.,Upcoming,Tuition + Hostel,Need + Merit,Hostel Assistance,https://example-scholarship-50.in,PhD,Any,500000,Rajasthan,SC,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
51,India Scholarship Scheme 51,Education Foundation 16,37178,"₹37,178",2026-07-06,Merit,Mock Indian scholarship program focused on merit support.,Open,Books and Tuition,Interview + Merit,Annual Stipend,https://example-scholarship-51.in,Class 10,Male,500000,Madhya Pradesh,ST,Arts,Aadhaar; Income Certificate; Marksheet; Bank Passbook
52,India Scholarship Scheme 52,Education Foundation 14,114107,"₹114,107",2026-09-21,Research,Mock Indian scholarship program focused on research support.,Upcoming,Full Academic Support,Interview + Merit,Research Grant,https://example-scholarship-52.in,Class 12,Any,1000000,Telangana,ST,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
53,India Scholarship Scheme 53,Education Foundation 12,167109,"₹167,109",2026-12-07,Merit,Mock Indian scholarship program focused on merit support.,Open,Tuition Fee,Need + Merit,Hostel Assistance,https://example-scholarship-53.in,Class 10,Female,500000,Haryana,General,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
54,India Scholarship Scheme 54,Education Foundation 15,171005,"₹171,005",2026-07-17,Minority,Mock Indian scholarship program focused on minority support.,Upcoming,Full Academic Support,Interview + Merit,Annual Stipend,https://example-scholarship-54.in,Diploma,Female,800000,Gujarat,SC,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
55,India Scholarship Scheme 55,Education Foundation 4,178087,"₹178,087",2026-08-21,Minority,Mock Indian scholarship program focused on minority support.,Open,Full Academic Support,Interview + Merit,Laptop Support,https://example-scholarship-55.in,Diploma,Female,800000,Andhra Pradesh,All,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
56,India Scholarship Scheme 56,Education Foundation 8,34245,"₹34,245",2026-09-06,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Full Academic Support,Entrance Test,Laptop Support,https://example-scholarship-56.in,PhD,Male,1000000,West Bengal,OBC,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
57,India Scholarship Scheme 57,Education Foundation 4,133449,"₹133,449",2026-07-15,Girls Education,Mock Indian scholarship program focused on girls education support.,Upcoming,Books and Tuition,Merit Based,Laptop Support,https://example-scholarship-57.in,Diploma,Female,300000,Haryana,OBC,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
58,India Scholarship Scheme 58,Education Foundation 24,46443,"₹46,443",2026-07-02,Merit,Mock Indian scholarship program focused on merit support.,Open,Tuition + Hostel,Merit Based,Hostel Assistance,https://example-scholarship-58.in,Diploma,Female,800000,Punjab,SC,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
59,India Scholarship Scheme 59,Education Foundation 21,131816,"₹131,816",2026-07-03,Minority,Mock Indian scholarship program focused on minority support.,Open,Full Academic Support,Merit Based,Hostel Assistance,https://example-scholarship-59.in,Class 10,Any,200000,Karnataka,OBC,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
60,India Scholarship Scheme 60,Education Foundation 12,71189,"₹71,189",2026-11-21,Need-Based,Mock Indian scholarship program focused on need-based support.,Open,Books and Tuition,Merit Based,Research Grant,https://example-scholarship-60.in,UG,Any,1000000,Bihar,EWS,All,Aadhaar; Income Certificate; Marksheet; Bank Passbook
61,India Scholarship Scheme 61,Education Foundation 1,175095,"₹175,095",2026-09-25,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Tuition + Hostel,Entrance Test,Research Grant,https://example-scholarship-61.in,UG,Female,200000,Andhra Pradesh,OBC,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
62,India Scholarship Scheme 62,Education Foundation 21,160018,"₹160,018",2026-07-28,Sports,Mock Indian scholarship program focused on sports support.,Open,Tuition Fee,Entrance Test,Hostel Assistance,https://example-scholarship-62.in,PG,Any,300000,Punjab,SC,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
63,India Scholarship Scheme 63,Education Foundation 17,69105,"₹69,105",2026-09-03,Merit,Mock Indian scholarship program focused on merit support.,Open,Full Academic Support,Interview + Merit,Hostel Assistance,https://example-scholarship-63.in,PhD,Male,800000,Kerala,All,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
64,India Scholarship Scheme 64,Education Foundation 4,192846,"₹192,846",2026-10-08,Research,Mock Indian scholarship program focused on research support.,Open,Books and Tuition,Entrance Test,Annual Stipend,https://example-scholarship-64.in,Class 10,Any,1000000,Bihar,Minority,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
65,India Scholarship Scheme 65,Education Foundation 7,10287,"₹10,287",2026-12-18,Girls Education,Mock Indian scholarship program focused on girls education support.,Open,Full Academic Support,Entrance Test,Annual Stipend,https://example-scholarship-65.in,Diploma,Male,300000,Jharkhand,General,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
66,India Scholarship Scheme 66,Education Foundation 18,175146,"₹175,146",2026-07-05,SC/ST,Mock Indian scholarship program focused on sc/st support.,Upcoming,Tuition + Hostel,Interview + Merit,Annual Stipend,https://example-scholarship-66.in,Class 10,Any,1000000,Odisha,Minority,Law,Aadhaar; Income Certificate; Marksheet; Bank Passbook
67,India Scholarship Scheme 67,Education Foundation 2,196165,"₹196,165",2026-09-20,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Full Academic Support,Need + Merit,Laptop Support,https://example-scholarship-67.in,UG,Male,800000,Jharkhand,OBC,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
68,India Scholarship Scheme 68,Education Foundation 1,52813,"₹52,813",2026-10-13,Merit,Mock Indian scholarship program focused on merit support.,Open,Tuition + Hostel,Need + Merit,Laptop Support,https://example-scholarship-68.in,PhD,Female,800000,Chhattisgarh,ST,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
69,India Scholarship Scheme 69,Education Foundation 13,127597,"₹127,597",2026-07-10,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Tuition + Hostel,Need + Merit,Research Grant,https://example-scholarship-69.in,Class 12,Male,500000,Punjab,General,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
70,India Scholarship Scheme 70,Education Foundation 13,54652,"₹54,652",2026-12-23,Minority,Mock Indian scholarship program focused on minority support.,Upcoming,Tuition Fee,Entrance Test,Research Grant,https://example-scholarship-70.in,Diploma,Male,800000,Assam,ST,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
71,India Scholarship Scheme 71,Education Foundation 10,27073,"₹27,073",2026-07-16,Technical Education,Mock Indian scholarship program focused on technical education support.,Open,Full Academic Support,Entrance Test,Annual Stipend,https://example-scholarship-71.in,Class 12,Male,500000,Bihar,EWS,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
72,India Scholarship Scheme 72,Education Foundation 17,128571,"₹128,571",2026-07-12,Merit,Mock Indian scholarship program focused on merit support.,Upcoming,Full Academic Support,Interview + Merit,Hostel Assistance,https://example-scholarship-72.in,Class 10,Female,200000,Gujarat,OBC,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
73,India Scholarship Scheme 73,Education Foundation 13,165169,"₹165,169",2026-12-11,SC/ST,Mock Indian scholarship program focused on sc/st support.,Open,Tuition Fee,Need + Merit,Hostel Assistance,https://example-scholarship-73.in,Class 10,Female,200000,Telangana,General,All,Aadhaar; Income Certificate; Marksheet; Bank Passbook
74,India Scholarship Scheme 74,Education Foundation 18,132049,"₹132,049",2026-07-05,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Full Academic Support,Entrance Test,Hostel Assistance,https://example-scholarship-74.in,PG,Any,800000,Haryana,OBC,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
75,India Scholarship Scheme 75,Education Foundation 9,166519,"₹166,519",2026-07-09,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Full Academic Support,Entrance Test,Annual Stipend,https://example-scholarship-75.in,PG,Male,800000,Uttar Pradesh,ST,Science,Aadhaar; Income Certificate; Marksheet; Bank Passbook
76,India Scholarship Scheme 76,Education Foundation 24,181335,"₹181,335",2026-09-16,Sports,Mock Indian scholarship program focused on sports support.,Open,Books and Tuition,Need + Merit,Annual Stipend,https://example-scholarship-76.in,Class 10,Male,500000,Maharashtra,Minority,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
77,India Scholarship Scheme 77,Education Foundation 9,45133,"₹45,133",2026-08-16,Research,Mock Indian scholarship program focused on research support.,Upcoming,Books and Tuition,Interview + Merit,Laptop Support,https://example-scholarship-77.in,UG,Female,500000,Haryana,OBC,Arts,Aadhaar; Income Certificate; Marksheet; Bank Passbook
78,India Scholarship Scheme 78,Education Foundation 2,125573,"₹125,573",2026-08-04,Research,Mock Indian scholarship program focused on research support.,Upcoming,Books and Tuition,Interview + Merit,Annual Stipend,https://example-scholarship-78.in,Diploma,Any,1000000,Karnataka,General,Management,Aadhaar; Income Certificate; Marksheet; Bank Passbook
79,India Scholarship Scheme 79,Education Foundation 8,83413,"₹83,413",2026-08-16,Sports,Mock Indian scholarship program focused on sports support.,Open,Full Academic Support,Interview + Merit,Hostel Assistance,https://example-scholarship-79.in,Diploma,Any,1000000,Maharashtra,Minority,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
80,India Scholarship Scheme 80,Education Foundation 4,81364,"₹81,364",2026-07-22,Research,Mock Indian scholarship program focused on research support.,Upcoming,Tuition Fee,Merit Based,Annual Stipend,https://example-scholarship-80.in,PhD,Any,1000000,West Bengal,OBC,All,Aadhaar; Income Certificate; Marksheet; Bank Passbook
81,India Scholarship Scheme 81,Education Foundation 18,168104,"₹168,104",2026-09-28,Girls Education,Mock Indian scholarship program focused on girls education support.,Open,Tuition Fee,Merit Based,Hostel Assistance,https://example-scholarship-81.in,Diploma,Any,200000,Chhattisgarh,General,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
82,India Scholarship Scheme 82,Education Foundation 6,84949,"₹84,949",2026-10-27,Research,Mock Indian scholarship program focused on research support.,Open,Books and Tuition,Entrance Test,Hostel Assistance,https://example-scholarship-82.in,UG,Any,300000,Bihar,SC,Medical,Aadhaar; Income Certificate; Marksheet; Bank Passbook
83,India Scholarship Scheme 83,Education Foundation 17,95424,"₹95,424",2026-11-20,Research,Mock Indian scholarship program focused on research support.,Upcoming,Tuition + Hostel,Merit Based,Research Grant,https://example-scholarship-83.in,PhD,Any,200000,Karnataka,ST,Arts,Aadhaar; Income Certificate; Marksheet; Bank Passbook
84,India Scholarship Scheme 84,Education Foundation 4,149039,"₹149,039",2026-09-28,Girls Education,Mock Indian scholarship program focused on girls education support.,Upcoming,Books and Tuition,Entrance Test,Annual Stipend,https://example-scholarship-84.in,Class 12,Male,800000,Tamil Nadu,All,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
85,India Scholarship Scheme 85,Education Foundation 16,103767,"₹103,767",2026-07-08,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Full Academic Support,Need + Merit,Annual Stipend,https://example-scholarship-85.in,Class 12,Female,300000,Uttar Pradesh,EWS,Agriculture,Aadhaar; Income Certificate; Marksheet; Bank Passbook
86,India Scholarship Scheme 86,Education Foundation 19,131599,"₹131,599",2026-12-22,Technical Education,Mock Indian scholarship program focused on technical education support.,Upcoming,Tuition Fee,Interview + Merit,Hostel Assistance,https://example-scholarship-86.in,Diploma,Male,500000,Uttar Pradesh,ST,Engineering,Aadhaar; Income Certificate; Marksheet; Bank Passbook
87,India Scholarship Scheme 87,Education Foundation 12,123164,"₹123,164",2026-08-11,Minority,Mock Indian scholarship program focused on minority support.,Open,Tuition + Hostel,Merit Based,Laptop Support,https://example-scholarship-87.in,UG,Female,1000000,Bihar,Minority,Commerce,Aadhaar; Income Certificate; Marksheet; Bank Passbook
